CASE_STATUS,SOC_CODE,SOC_NAME,EMPLOYER_STATE,YEAR
CERTIFIED,399021,Personal and Home Care Aides,PR,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,393091,Amusement and Recreation Attendants,MA,2011
CERTIFIED,393091,Amusement and Recreation Attendants,MA,2011
CERTIFIED,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,399011,Child Care Workers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,473012,Helpers--Carpenters,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,434151,Order Clerks,MA,2011
CERTIFIED,472071,"Paving, Surfacing, and Tamping Equipment Operators",MA,2011
CERTIFIED,472161,Plasterers and Stucco Masons,MA,2011
CERTIFIED,393091,Amusement and Recreation Attendants,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,537063,Machine Feeders and Offbearers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,519198,Helpers--Production Workers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,211093,Social and Human Service Assistants,MA,2011
CERTIFIED,399031,Fitness Trainers and Aerobics Instructors,MA,2011
CERTIFIED,399031,Fitness Trainers and Aerobics Instructors,MA,2011
CERTIFIED,299091,Athletic Trainers,MA,2011
CERTIFIED,534013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",MA,2011
CERTIFIED,537063,Machine Feeders and Offbearers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,533022,"Bus Drivers, School",MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,519199,"Production Workers, All Other",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,435081,Stock Clerks and Order Fillers,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,396011,Baggage Porters and Bellhops,MA,2011
CERTIFIED,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,412021,Counter and Rental Clerks,MA,2011
CERTIFIED,435081,Stock Clerks and Order Fillers,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,352013,"Cooks, Private Household",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,537062,"Laborers and Freight, Stock, and Material Movers, Hand",MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",MA,2011
CERTIFIED,439061,"Office Clerks, General",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,435081,Stock Clerks and Order Fillers,MA,2011
CERTIFIED,395092,Manicurists and Pedicurists,MA,2011
CERTIFIED,319011,Massage Therapists,MA,2011
CERTIFIED,353041,"Food Servers, Nonrestaurant",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,473012,Helpers--Carpenters,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,533022,"Bus Drivers, School",MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",MA,2011
CERTIFIED,474099,"Construction and Related Workers, All Other",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,434151,Order Clerks,MA,2011
CERTIFIED,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",MA,2011
CERTIFIED,119051,Food Service Managers,MA,2011
CERTIFIED,472141,"Painters, Construction and Maintenance",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,537062,"Laborers and Freight, Stock, and Material Movers, Hand",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,412031,Retail Salespersons,MA,2011
CERTIFIED,393093,"Locker Room, Coatroom, and Dressing Room Attendants",MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,352013,"Cooks, Private Household",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,MA,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,412031,Retail Salespersons,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,537063,Machine Feeders and Offbearers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,232099,"Legal Support Workers, All Other",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352011,"Cooks, Fast Food",MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352013,"Cooks, Private Household",MA,2011
CERTIFIED,531021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,352013,"Cooks, Private Household",MA,2011
CERTIFIED,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,351012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",MA,2011
CERTIFIED,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",MA,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352021,Food Preparation Workers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,353031,Waiters and Waitresses,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,412031,Retail Salespersons,MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",MA,2011
CERTIFIED,499042,"Maintenance and Repair Workers, General",MA,2011
CERTIFIED,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",MA,2011
CERTIFIED,533033,"Truck Drivers, Light or Delivery Services",MA,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,MA,2011
CERTIFIED,435081,Stock Clerks and Order Fillers,MA,2011
CERTIFIED,352014,"Cooks, Restaurant",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,352015,"Cooks, Short Order",MA,2011
CERTIFIED,359021,Dishwashers,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,MA,2011
CERTIFIED,352021,Food Preparation Workers,RI,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,RI,2011
CERTIFIED,411011,First-Line Supervisors/Managers of Retail Sales Workers,RI,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,RI,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,RI,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,RI,2011
CERTIFIED,352014,"Cooks, Restaurant",RI,2011
CERTIFIED,119081,Lodging Managers,RI,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",RI,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,RI,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,RI,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,RI,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,RI,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,RI,2011
CERTIFIED,393091,Amusement and Recreation Attendants,RI,2011
CERTIFIED,537063,Machine Feeders and Offbearers,NH,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NH,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NH,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,NH,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NH,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,NH,2011
CERTIFIED,352021,Food Preparation Workers,NH,2011
CERTIFIED,393091,Amusement and Recreation Attendants,NH,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NH,2011
CERTIFIED,393091,Amusement and Recreation Attendants,NH,2011
CERTIFIED,393091,Amusement and Recreation Attendants,NH,2011
CERTIFIED,259041,Teacher Assistants,NH,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,NH,2011
CERTIFIED,352013,"Cooks, Private Household",NH,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,NH,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,NH,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,NH,2011
CERTIFIED,359021,Dishwashers,NH,2011
CERTIFIED,352013,"Cooks, Private Household",NH,2011
CERTIFIED,516011,Laundry and Dry-Cleaning Workers,NH,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,NH,2011
CERTIFIED,393091,Amusement and Recreation Attendants,NH,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,NH,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,ME,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,ME,2011
CERTIFIED,373013,Tree Trimmers and Pruners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352021,Food Preparation Workers,ME,2011
CERTIFIED,353031,Waiters and Waitresses,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,359021,Dishwashers,ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,359021,Dishwashers,ME,2011
CERTIFIED,352015,"Cooks, Short Order",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,353031,Waiters and Waitresses,ME,2011
CERTIFIED,359021,Dishwashers,ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352013,"Cooks, Private Household",ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,352013,"Cooks, Private Household",ME,2011
CERTIFIED,352015,"Cooks, Short Order",ME,2011
CERTIFIED,537064,"Packers and Packagers, Hand",ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,353031,Waiters and Waitresses,ME,2011
CERTIFIED,351012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,352013,"Cooks, Private Household",ME,2011
CERTIFIED,211093,Social and Human Service Assistants,ME,2011
CERTIFIED,516011,Laundry and Dry-Cleaning Workers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,399031,Fitness Trainers and Aerobics Instructors,ME,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,353031,Waiters and Waitresses,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,434081,"Hotel, Motel, and Resort Desk Clerks",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,353031,Waiters and Waitresses,ME,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,359021,Dishwashers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,359021,Dishwashers,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,ME,2011
CERTIFIED,352014,"Cooks, Restaurant",ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,ME,2011
CERTIFIED,454011,Forest and Conservation Workers,ME,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,ME,2011
CERTIFIED,473014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",VT,2011
CERTIFIED,537063,Machine Feeders and Offbearers,VT,2011
CERTIFIED,352014,"Cooks, Restaurant",VT,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,VT,2011
CERTIFIED,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,VT,2011
CERTIFIED,352021,Food Preparation Workers,VT,2011
CERTIFIED,372012,Maids and Housekeeping Cleaners,VT,2011
CERTIFIED,359021,Dishwashers,VT,2011
CERTIFIED,537062,"Laborers and Freight, Stock, and Material Movers, Hand",VT,2011
CERTIFIED,371011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,VT,2011
CERTIFIED,352013,"Cooks, Private Household",VT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,272022,Coaches and Scouts,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,353031,Waiters and Waitresses,NY,2011
CERTIFIED,473012,Helpers--Carpenters,CT,2011
CERTIFIED,399011,Child Care Workers,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,272022,Coaches and Scouts,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,472031,Carpenters,CT,2011
CERTIFIED,353031,Waiters and Waitresses,CT,2011
CERTIFIED,353031,Waiters and Waitresses,CT,2011
CERTIFIED,353031,Waiters and Waitresses,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,CT,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,311011,Home Health Aides,NJ,2011
CERTIFIED,393091,Amusement and Recreation Attendants,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,473012,Helpers--Carpenters,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,435071,"Shipping, Receiving, and Traffic Clerks",NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,352013,"Cooks, Private Household",NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,353031,Waiters and Waitresses,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,435081,Stock Clerks and Order Fillers,NJ,2011
CERTIFIED,272022,Coaches and Scouts,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,519198,Helpers--Production Workers,NJ,2011
CERTIFIED,511011,First-Line Supervisors/Managers of Production and Operating Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,533031,Driver/Sales Workers,NJ,2011
CERTIFIED,119011,"Farm, Ranch, and Other Agricultural Managers",NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,373011,Landscaping and Groundskeeping Workers,NJ,2011
CERTIFIED,392021,Nonfarm Animal Caretakers,NJ,2011
